Google Ads campaign,Nth week,Google Ads cost,Google Ads impressions,Active users
md_pmax_детские_товары_подгузники,40,55866.363002,352927,517
md_pmax_красота_и_уход_лореаль,33,55794.704064,740049,814
pr_mega_demgen_summer25_2506,56,55595.462672,872432,64
pr_mega_demgen_low-salt_2507,60,55566.804248,903447,84
md_pmax_алкоголь_вино,18,55447.4,657694,572
md_pmax_товары_для_дома,22,55421.550136,734366,834
md_pmax_алкоголь_пиво,1,55306.88,719318,515
md_pmax_детские_товары_подгузники,8,55261.312785,438847,456
shop_st_бытовая_химия_средства_для_стирки,19,55234.35,596602,728
md_pmax_продукты_питания_кондитерка,9,55023.739699,1031693,342
md_pmax_детские_товары_подгузники,46,54995.464173,265144,573
md_pmax_товары_для_дома_посуда_посуда_для_приготовления_пищи,27,54902.930274,683415,706
md_pmax_товары_для_дома,35,54900.180733,753501,893
